詞條,英文解釋,中文解釋,阿美語例句,英文例句,中文例句,參見
'ong'ong,burned food * as rice,鍋巴，燒焦的鍋底飯皮,,,,'adi
'ongangil,tissue between the joints * as the discs in the backbone,軟骨,,,,
'ongcoy,large rocks such as those on the beach,巖石，岩石，磐石,,,,
'ongto,pipe for smoking,煙斗,,,,
'oning,dirt * soil of clothing or skin,污垢，髒,,,,
'onip,Refer to 'anip,詳見 'anip,,,,'anip
'onoc,a bamboo carrying pole,扁擔，挑東西用的木棍或竹竿,,,,
'opic,to wet * make wet * as from rain,濕，弄濕,,,,"senger, cepa'"
'opir,a braid of hair or of rope,束髮，編髮，編繩,,,,
'orac,worn smooth * as wood,磨滑，磨損,,,,'roc
'orad,rain,雨，下雨,,,,"paka'orad, misa'orad"
'oret,a necklace made of sea shells,貝製的項鍊,,,,
'orip,life,生命，生涯,Pa'oripen nira kako.,1. He saved me. physically as from drowning. 2.spiritually,1. 他救我，由肉體上如從溺水之險境中 2. 精神或屬靈上,"ci'orip, ka'oripan, ma'oripay, pa'oripay, sapa'orip"
,,,O ma'araway i lo'orip a tinako konini.,This illustration is seen in ordinary life.,這事倒在日常生活中可以看到,
'oriyat,to stretch one's body as when awakening,打哈欠，伸懶腰,,,,masaya
'orong,to carry on the shoulder,扛肩,Ma'orong nira ko retengay a 'inorong.,He carried a heavy load.,他挑起了沉重的擔子，他運走(扛在肩上)了很沉重的荷物,'a'orongen
'orsap,lice such as that found on young chicks,蝨，依附在家禽或鳥類上的寄生蟲,,,,
'osal,a green leafy vegetable with tap root,發自球根植物根部上的嫩芽，如蕃薯或馬鈴薯,,,,
'osaw,left over,剩餘,,,,
,left behind,遺留,,,,
'osi,to strongly dislike * reject,嫌惡，討厭，厭煩,mi'osi to tilid,read,閱讀或誦讀書本,
,,,sa'osi,true * chosen,數算，計算,
,,,O 'osi a tamdaw cingra.,He is true.,他是正直的人，他是了不起的人物,
,,,Ka'osian ko demak nira.,What he does is despicable.,他的作為令人討厭,
'osiyat,Refer to 'oliyat,詳見 'oliyat,,,,'oliyat
'osnget,an expression of anger,皺眉頭表示生氣,,,,ngotefol
'ot'ot,to cultivate rice plants by hand,農人用手或小鋤頭除草,,,,kapkap
,to carve * engrave,雕刻，雕塑,,,,
'oteng,trapped as by the snare on a fish hook (sa'oteg),助沉器(附繫於圓形魚網邊之鋁製沉器),,,,
,to be degraded * suffering humiliation from sin,因過失而受貶降職務處分,,,,
,to stay at home as when embarrassed or ill,為免尷尬之事或因生病而留在家,,,,
'otit,to pervert * perform sexual acts that are against nature as homosexuality,淫蕩，風騷，不矜持，不莊重，不端莊,,,,
'otkok,to huddle as when cold,因寒冷而捲曲身子縮成一團,,,,
'otkoy,to have head bowed from sickness,因病而垂首,,,,
'otoc,pillar * marker as for a grave,柱，樁，墳墓的標柱,,,,
'owac,the cycle of beginning to end of something * as the cycle of the seasons in a year,輪迴，周而復始的現象,,,,
'owak,to drink from a glass or bottle,從杯或瓶中一口喝乾,,,,ta'owak
'owal,to pry up or apart * as with a crowbar,用鐵撬挪動沉重的東西,,,,'iwal
'owang,to howl * high pitched sound of a dog,狗狂叫，怒吼,,,,
'oway,reeds made from a plant that grows in the mountains and the plant * used in tying together poles and furniture and baskets etc.,籐，籐條 * 用來繫柱子，和製家俱和做簍筐等。,,,,misi'oway
'pec,to despise * look down upon * consider of little value,瞧不起，奚落，輕視，輕蔑,,,,sepen
'pel,biting gnats found in Hualien county,黑蚊,,,,
'pi,paralyzed * as a stroke victirp,痲痺(如中風患者),,,,
,to turn under * hem * tuck,縫邊，褶紋,sa'pi'pi ko riko' nira.,Her skirt is pleated.,她的裙子是打褶的,
,an animal hide * leather,動物的皮革,,,,
'pip,to play a flute,吹笛,,,,"tipolo, 'apipen"
'pod,to come down * to descend,下來，走下，降下，落下,,,,
'pong,a small hole,孔，洞，穴,,,,ofang
'rac,to be washed by rain so soil is gone and stones appear,經雨打後而土失石現的現象,,,,
'res,something used as adornment as jewelry or home decorations,裝飾品,,,,'iray
'ric,wire,鋼絲,,,,
'roc,worn smooth * as wood,磨滑(如木頭),,,,'orac
'ros,an undercurrent that pulls objects that come into it,旋渦吞沒，沉沒東西,,,,
,the Pacific current,黑潮,,,,'los
'sam,attitude of being tired of looking at something,不耐煩，因疲倦而厭煩的態度,Ma'samen to kako.,I am upset / disturbed (by a situation).,我已經提不起興趣了,
'ses,to the point * direct,指出，指導,Awaay ko paka'esesay a somowal ngraan.,No one is able to speak pointedly to him.,沒有一個人敢當面指責他,'eses
'sid,Refer to 'ised,詳見 'ised,,,,'ised
'sing,to sneeze,打噴嚏,,,,
'tah,chaff,粗糠,,,,afih
'tip,west,西，西方，西邊,sa'tip,to the west,在西邊，西部,ka'tip
,,,pasa'tip a romakat,walk / travel to the west,向西行走,
,,,isa'tipay a tamdaw,people that live in the valley (from the east coast perspective),西部人(按東海岸的阿美族指住在東部縱谷平原的人),
,,,pasa'tip a tamdaw,people that live on the west coast,西部人(指住在西海岸的人),
'tolan,name of an Amis village,台東縣東河鄉都蘭落部名,,,,
'tot,to pass gas from bloating,屁，響屁,,,,
'xiw,incense (from Amoy dialect),香(佛教供神用) (引自閩南語),pa'xiw,to burn incense as in worship,上香,
'yak,to choke from aspirating food or water,因吃東西或飲水而噎住,,,,
,to eat food not belonging to him,貪吃別人的東西，貪嘴,,,,maco'os
'yof,to change,改變(心意),Caay ko ma'yof koya tamdaw.,That person will not change.,那人的心意無法改變，他剛愎自用,
Alapawan,Refer to alapawan,詳見 alapawan,,,,alapawan
Amilika,Refer to amilika,詳見 amilika,,,,amilika
Arapanay,Refer to arapanay,詳見 arapanay,,,,arapanay
Cikor,Refer to cikor,詳見 cikor,,,,cikor
Cikowa'ay,name of an Amis village,池上鄉雷光部落之名,,,,kowa'
Cilengacay,name of an Amis village,花蓮縣玉里鎮德武部落名,,,,Lengacay
Cinang,Refer to cinang,詳見 cinang,,,,cinang
Cingaloan,Refer to cingaloan,詳見 cingaloan,,,,cingaloan
Ciokangan,Refer to ciokangan,詳見 ciokangan,,,,ciokangan
Ciriyahan,Refer to ciriyahan,詳見 ciriyahan,,,,ciriyahan
Cirokohay,Refer to cirokohay,詳見 cirokohay,,,,cirokohay
Ciwidian,place that has leeches * name of an Amis village,產水蛭的地方，花蓮縣壽豐鄉水璉部落名,,,,widi
Congaw,Refer to congaw,詳見 congaw,,,,congaw
Copo,Refer to copo,詳見 copo,,,,copo
Dikidiki,Refer to dikidiki,詳見 dikidiki,,,,dikidiki
Fahol,Refer to fahol,詳見 fahol,,,,fahol
Falangaw,Refer to falangaw,詳見 falangaw,,,,falangaw
Fangcalay 'Adingo,Holy Spirit * coined expression for,聖靈,,,,
Harawan,Refer to harawan,詳見 harawan,,,,harawan
Hatotoan,Refer to hatotoan,詳見 hatotoan,,,,hatotoan
Holam,Refer to holam,詳見 holam,,,,holam
Inafaran,Refer to inafaran,詳見 inafaran,,,,inafaran
Iwatan,Refer to iwatan,詳見 iwatan,,,,iwatan
Kakawasan,Refer to kakawasan,詳見 kakawasan,,,,kakawasan
Kalala,Refer to kalala,詳見 kalala,,,,kalala
Kalingko,Refer to kalingko,詳見 kalingko,,,,kalingko
Kalotongan,Refer to kalotongan,詳見 kalotongan,,,,kalotongan
Kanalong,Refer to kanalong,詳見 kanalong,,,,kanalong
Kanifangar,Refer to kanifangar,詳見 kanifangar,,,,kanifangar
Kaping,Refer to holam,詳見 holam,,,,holam
Karoroan,Refer to karoroan,詳見 karoroan,,,,karoroan
Keristokiw,Christianity * the Christian church or religion (from Japanese),基督教 (引自日語,,,,
Kicofi,Refer to kicofi,詳見 kicofi,,,,kicofi
Kiwit,Refer to kiwit,詳見 kiwit,,,,kiwit
Kiyko,Refer to kiyko,詳見 kiyko,,,,kiyko
Koladot,Refer to koladot,詳見 koladot,,,,koladot
Kwaping,Refer to holam,詳見 holam,,,,holam
Lalominan,Refer to lomin,詳見 lomin,,,,lomin
Laso'ay,Refer to laso'ay,詳見 laso'ay,,,,laso'ay
Lengacay,Refer to Cilengacay,詳見 Cilengacay,,,,Cilengacay
Ma'ifor,Refer to ma'ifor,詳見 ma'ifor,,,,'ifor
Mafowakay,Refer to mafowakay,詳見 mafowakay,,,,mafowakay
Makotaay,Refer to makotaay,詳見 makotaay,,,,makotaay
Malimpo,Refer to malimpo,詳見 malimpo,,,,malimpo
Mancelan,Refer to Mangcelan,詳見 Mangcelan,,,,Mangcelan
Mangcelan,name of an Amis village,玉里松浦村之名,,,,Mancelan
Manowan,Refer to iwatan,詳見 iwatan,,,,iwatan
Matadim,Refer to matadim,詳見 matadim,,,,matadim
Mingkok,Refer to holam,詳見 holam,,,,holam
Molisaka,Refer to molisaka,詳見 molisaka,,,,molisaka
Moronos,Refer to moronos,詳見 moronos,,,,moronos
Pisirian,the name of an Amis village,台東縣成功鎮白守連部落名,,,,siri
Takay,Refer to takay,詳見 takay,,,,takay
Takofan,Refer to takofan,詳見 takofan,,,,takofan
Takoliyaw,Refer to takoliyaw,詳見 takoliyaw,,,,takoliyaw
Takomi,Refer to takomi,詳見 takomi,,,,takomi
Taloko,Refer to taloko,詳見 taloko,,,,taloko
Tamayan,Refer to tamayan,詳見 tamayan,,,,tamayan
Tapowaray,Refer to tapowaray,詳見 tapowaray,,,,tapowaray
Tipod,Refer to tipod,詳見 tipod,,,,tipod
Tofotofo,Refer to tekateka,詳見 tekateka,,,,tekateka
Tolampo,Refer to tolampo,詳見 tolampo,,,,tolampo
Tongalen ko tayal.,Do more work.,工作要增加，做更多的工作,,,,
Towapon,Refer to towapon,詳見 towapon,,,,towapon
Wakah,Refer to wakah,詳見 wakah,,,,wakah
a,"a connecting particle with some of the meaning of ""and"" * modifying particle",連結詞 (為某種意義或修飾用),,,,
a'pipen,a flute,笛子，橫笛,,,,tipolo
aayad,white ants * termites,白蟻,,,,
aca,an untranslatable particle,無法翻譯的詞類，但具有僅僅，只有，祇是，唯有等之含意,Cecay aca ko wawa nira.,He has only one child.,他只有一個孩子,
acang,festive * merry m�king,喜慶，會宴,,,,
,full of pride,驕傲，自豪，不可一世，自誇,,,,"kaacangan, haliacangay"
acek,disgust * feeling of revulsion,嫌惡，嘔心,Paaceken nira ko tireng nira.,He defiled himself.,自取其辱,"kaacekan, maacek"
,,,Paaceken nira ko was.,He blasphemed against God.,他褻潰上帝,
aci,and (a connective between two proper names),…和…，…與…，…以及…,,,,
aciya,an exclamation of delight,愉快，讀美的感嘆詞,,,,
acohod,generic word for dust,塵埃的總稱,,,,
adada,sickness * disease,疾病，生病,,,,
,pain,疼痛，苦痛,,,,paadada
adah,heal,痊癒,maadah to ko adada,the sickness is healed,病痊癒了,
,,,maadah ko keter no faloco',the anger of heart is healed / gone.,氣消了，不再生氣了，心中的憎恨平息了,
adahi,improved * better than formerly * former condition being bad,稍稍有進步，聊勝於無,,,,
aday^ay,pity * no thought of involvement,同情，憐憫,,,,
adengay,better than another though not truly good * as to be in better health,雖然不十分好，但比其他…好多了，比上不足，比下有餘，聊勝於無,,,,
adeses,"a tiny sound of any kind, i.e. the whimper of a baby",任何微小的聲響，如嬰孩喂泣聲,Awaay ko adeses.,There was complete silence.,寧靜無聲,
adihay,a large amount of something * many * much,很多，眾多,,,,
afelaw,saltless soup,鹹度不夠，鹽味不足,,,,kafelaw
afih,chaff,米糠,,,,
,name of an Amis village,玉里鎮鐵粉部落名,,,,
afsa',not flavored * tasteless * of food or speech or song,淡(無鹽)而無味的像食物，像演說或歌唱,,,,
ahowid,to be grateful * thankful,感恩，感謝,ahowiday,to be satisfied,滿足,
aikor,rear * back of,背後，後面,Talaaikor cingra.,He moved to the rear.,"他退到後面 , 他轉移到後面，他落後",
,,,O i aikoray cangra a maro'.,They sat in the back.,他們是坐在後面的,
aira,there will be,將有，將會有,,,,
,there will be present (the a prefix indicates future),是有的現在式(前面 +a 表示未來或將來式),,,,ira
aka,don't * negative command,不要…，不准 (否定命令),,,,
akaki,Autumn Maple Tree (Bischofia javanica) (From Japanese),茄苳 (引自日語),,,,
aki,exclamation of admiration,讚賞的感嘆詞,,,,iki
ako,my * mine * by me.  See Appendix 1 pronouns.,我的。請參閱附錄Ⅰ - 代名詞,Halo akoen a pafeli,(Please) include me when you give,請你也分給我,nomako
,,,Misaakoakoay cingra.,He is insisting on having his own way.,他堅持有自己的方法，但沒有本事卻擅作主張,
akong,grandfather (from Amoy dialect),祖父，爺爺 (引自閩南語),,,,
ala,take * generic form,拿，取，帶,Maala no tao ko codad ako.,My book was taken by others.,我的書被別人拿走,
,,,Alaen no tao ko codad ako.,Others took my book.,別人帶走了我的書,
ala-,a grammar particle added to a word meaning for each one,文法詞類加在各個之意義上,Alacecay kita to sowal.,Each of us is to say sentence.,我們各人(每人)說一句,
,,,Alacecayen ko pipafeli.,Give each one thing.,每人分一個,
,,,Alasadasadak  cangra a militemoh tamiyanan.,They all came out (from different directions) to meet us.,他們紛紛(各類，全部)出來迎接我們,
alacecay,one for each,每人一件，每人一個,,,,cecay
alaf'af,lukewarm,溫熱的，暖暖的 (水),,,,"alaf^af, fala^fa"
alaf^af,lukewarm,溫熱的，微熱的 (水),,,,alaf'af
alafoh,dust blown by the wind * including sandy gritty material,灰塵，粉末,,,,
alapawan,name of an Amis village,台東縣東河鄉泰源部落名,,,,Alapawan
alem'em,sore * aching body from flu and fever,全身酸痛,,,,
alimacedan,to have sore muscles from strenuous activity,肌肉疼痛 (做激烈運動或工作後的),,,,
alingato,thank you (from Japanese),謝謝 (引自日語),,,,
aliwatec,to be twisted * as the twisting of string,"擰轉, 編織，如擰轉或編織繩子",,,,
aloponay,a bird called Common Kingfisher,鳥名，翠鳥,,,,"ka'ongtoay, kado'engay"
ama,father,爸爸，父親,,,,mama
,grandfather (Hualien county),祖父，父執輩以上總稱 (花蓮語),,,,
amilika,America * American,美國，美國人 (from Japanese English 引自日語和英語),,,,Amilika
amo,See kamo. you plural,你們〈第二人稱複數〉,Halo amo a mafana' tonini a demak.,Even you know about this matter.,連你都知道這件事,
amoto,cement (from Amoy dialect),水泥，水泥地 (引自閩南語),,,,
ana:,exclamation of fear or hesitancy,[遇到危險時的] 感嘆詞,,,,
anakox,a verbalization of pain * ouch,受傷或疼痛時喊叫聲或呻吟聲,,,,
ancoh,smell of urine,尿臭,,,,
,name of an Amis village * name comes from the smell of hot springs,玉里鎮安通部落名，此名引自溫泉硫磺的臭味,,,,
angang,the activity of a medium to divine the spirit of a sick person by performing a ceremony,巫師藉執行儀式神化病人靈魂的活動,,,,
angil,with negative meaning no energy * tired,精力的否定意義，精力竭盡，疲倦,awaay ko angil,to be very tired * have no strength,非常疲倦，無精打采，沒有力量,
anini,at the present time,現在,,,,
,today,今天,,,,
,right now,現在,,,,imatini
ano,if * contingent particle,如果，若，假使 (偶然性或意外情境中的詞類),,,,
,when (future),當… (未來),Ano hakowa ira kiso?,When will you come?,你什麼時候來？你何時到？,
anoci:la,sometime in the near future,在最近將來的任何時間,,,,
anocila,tomorrow,明天,,,,
,when word is lengthened (anoci:la) the meaning can be extended to future several days or weeks away,當:音拉長時表示未來數天或數星期之某時(日),,,,
aocoren,one to be sent * apostle,受派遣的人，使徒,,,,ocor
apa,dumb * unable to speak,啞巴,,,,
,stupid * not intelligent * no sense,愚蠢，不智，遲頓,misaapa to fafahiyan,commit sexual sin towards a woman,愚弄女人，對女人犯性騷擾,
apac,late in arising,早晨晚起，睡懶覺,,,,
,slow to arrive,遲到,,,,
,primitive,原始的，落伍的,Maapacay ko 'orip no ngcah.,Tribal people have a primitive life style.,山胞具有原始生活型態，山地同胞具有原始生活風貌,
aped,powder * the form or consistency of,粉末 (尤指泥狀細砂米糠),,,,
apet,relatives by marriage * as the relationship between brothers-in-law,連襟，兄弟姊妹之配偶彼此間之稱呼,,,,
apiyan,opium (from Amoy dialect - English),鴉片 (引自台語和英語),maapiyan,to need opium for a stimulant * to be without strength because of dependency on a drug,四肢無力，無精打采，有如吸鴉片者,
araaw,being in limbo with nothing to do but think what to do next,無聊，無所事事，不知該做何事，毫無頭緒，渴望,,,,
arapanay,name of an Amis village,台東市豐里部落 名,,,,Arapanay
aray,gratitude felt in the heart but not expressed to the giver (limited use in small part of the tribe),內心感激但尚未向賜予者表 任何行動 (只有少數阿美族人用此語),,,,
